Order_ID,Customer_ID,Order_Date,City,Restaurant_Name,Food_Category,Item_Name,Quantity,Order_Value,Delivery_Time_Min,Payment_Method,Rating,Month,Day,Delivery_Status
1000,58,2024-01-04,Mysuru,Domino'S,Biryani,Chicken Pizza,1,580.16,49,UPI,5.0,1,Thursday,Late
1001,217,2024-02-05,Bangalore,Domino'S,Biryani,Dosa,1,501.65,60,UPI,4.0,2,Monday,Late
1002,113,2024-02-27,Mysuru,Pizza Hut,Biryani,Fries,3,308.95,28,CASH,1.0,2,Tuesday,Fast
1003,48,2024-02-05,Hubli,Empire,North Indian,Chicken Biryani,1,616.22,49,UPI,4.0,2,Monday,Late
1004,41,2024-02-05,Hubli,Meghana Foods,Biryani,Cheese Pizza,1,569.66,64,CASH,1.0,2,Monday,Late
1005,120,2024-02-05,Mysuru,Mcdonald'S,Dessert,Chicken Pizza,3,361.58,57,CASH,2.9847560975609757,2,Monday,Late
1006,37,2024-03-18,Bangalore,Mcdonald'S,Biryani,Chicken Pizza,4,378.03,55,UPI,2.0,3,Monday,Late
1007,167,2024-02-05,Bangalore,Empire,South Indian,Chicken Biryani,1,263.47,51,CASH,2.0,2,Monday,Late
1008,256,2024-02-20,Mangalore,Domino'S,Dessert,Chicken Pizza,2,626.59,49,CASH,2.9847560975609757,2,Tuesday,Late
1009,300,2024-02-24,Hubli,Empire,Biryani,Chicken Pizza,4,181.82,18,UPI,2.0,2,Saturday,Fast
1010,82,2024-02-05,Bangalore,Empire,South Indian,Paneer Curry,4,479.8,50,UPI,2.9847560975609757,2,Monday,Late
1011,59,2024-03-28,Mysuru,Empire,Fast Food,Chicken Biryani,4,227.55,15,CASH,5.0,3,Thursday,Fast
1012,92,2024-02-05,Mysuru,Mcdonald'S,North Indian,Veg Biryani,2,374.26,25,UPI,5.0,2,Monday,Fast
1013,1,2024-02-05,Mangalore,Pizza Hut,Fast Food,Burger,3,282.83,30,UPI,1.0,2,Monday,Normal
1014,44,2024-02-05,Mangalore,Domino'S,Biryani,Garlic Bread,2,300.24,70,UPI,4.0,2,Monday,Late
1015,109,2024-03-10,Mysuru,Kfc,South Indian,Burger,4,731.74,43,UPI,2.0,3,Sunday,Normal
1016,116,2024-02-05,Bangalore,Meghana Foods,North Indian,Veg Biryani,2,124.89,60,UPI,2.0,2,Monday,Late
1017,35,2024-02-05,Bangalore,Mcdonald'S,Biryani,Chicken Biryani,4,265.68,23,UPI,5.0,2,Monday,Fast
1018,243,2024-02-05,Hubli,Domino'S,Fast Food,Cheese Pizza,4,360.92,41,CARD,2.9847560975609757,2,Monday,Normal
1019,28,2024-03-27,Bangalore,Pizza Hut,South Indian,Burger,1,289.09,27,UPI,4.0,3,Wednesday,Fast
1020,72,2024-02-05,Mysuru,Mcdonald'S,Biryani,Cheese Pizza,4,669.46,69,UPI,1.0,2,Monday,Late
1021,26,2024-03-24,Bangalore,Pizza Hut,Biryani,Chicken Pizza,4,450.24,28,CARD,1.0,3,Sunday,Fast
1022,85,2024-02-05,Hubli,Kfc,South Indian,Chicken Biryani,4,593.68,61,UPI,2.9847560975609757,2,Monday,Late
1023,250,2024-02-05,Mysuru,Domino'S,Fast Food,Paneer Curry,1,628.62,18,UPI,5.0,2,Monday,Fast
1024,245,2024-03-05,Bangalore,Pizza Hut,North Indian,Cheese Pizza,2,166.59,19,CARD,4.0,3,Tuesday,Fast
1025,62,2024-02-05,Bangalore,Meghana Foods,Fast Food,Fries,3,755.6,28,CASH,2.0,2,Monday,Fast
1026,136,2024-02-05,Mysuru,Mcdonald'S,Dessert,Cheese Pizza,1,431.63,51,UPI,1.0,2,Monday,Late
1027,276,2024-01-28,Mysuru,Domino'S,Dessert,Cheese Pizza,2,371.28,25,CARD,5.0,1,Sunday,Fast
1028,155,2024-03-19,Mangalore,Pizza Hut,North Indian,Chicken Biryani,1,758.47,23,CASH,1.0,3,Tuesday,Fast
1029,55,2024-02-05,Mysuru,Kfc,North Indian,Veg Biryani,3,258.45,55,CASH,5.0,2,Monday,Late
1030,251,2024-02-05,Bangalore,Empire,Dessert,Veg Pizza,1,346.82,23,CASH,2.0,2,Monday,Fast
1031,227,2024-03-11,Hubli,Mcdonald'S,Fast Food,Cheese Pizza,1,762.63,59,CARD,5.0,3,Monday,Late
1032,19,2024-02-17,Mangalore,Domino'S,South Indian,Chicken Pizza,1,329.62,65,UPI,3.0,2,Saturday,Late
1033,108,2024-02-05,Bangalore,Empire,North Indian,Fries,2,749.52,30,CARD,2.0,2,Monday,Normal
1034,212,2024-02-05,Hubli,Empire,Biryani,Chicken Biryani,2,655.41,21,CARD,1.0,2,Monday,Fast
1035,241,2024-02-05,Mangalore,Empire,Dessert,Veg Biryani,2,136.09,27,CARD,3.0,2,Monday,Fast
1036,143,2024-02-05,Hubli,Mcdonald'S,South Indian,Dosa,3,758.68,22,CASH,2.0,2,Monday,Fast
1037,298,2024-02-05,Bangalore,Meghana Foods,South Indian,Burger,3,416.75,47,UPI,4.0,2,Monday,Late
1038,296,2024-02-05,Bangalore,Empire,Fast Food,Dosa,2,367.67,19,CASH,5.0,2,Monday,Fast
1039,161,2024-02-05,Mysuru,Mcdonald'S,Dessert,Fries,3,393.63,33,UPI,2.0,2,Monday,Normal
1040,99,2024-02-23,Hubli,Domino'S,North Indian,Paneer Curry,3,396.13,68,UPI,3.0,2,Friday,Late
1041,147,2024-02-05,Hubli,Mcdonald'S,South Indian,Garlic Bread,2,467.6,65,CARD,2.9847560975609757,2,Monday,Late
1042,44,2024-02-06,Hubli,Pizza Hut,Biryani,Chicken Biryani,2,668.46,24,UPI,1.0,2,Tuesday,Fast
1043,126,2024-03-01,Bangalore,Mcdonald'S,South Indian,Paneer Curry,2,608.48,39,CARD,4.0,3,Friday,Normal
1044,125,2024-01-19,Bangalore,Pizza Hut,South Indian,Veg Biryani,2,666.79,59,UPI,4.0,1,Friday,Late
1045,26,2024-02-05,Bangalore,Mcdonald'S,Biryani,Garlic Bread,3,766.03,43,UPI,2.9847560975609757,2,Monday,Normal
1046,259,2024-02-24,Mangalore,Domino'S,South Indian,Garlic Bread,3,631.21,68,CASH,5.0,2,Saturday,Late
1047,249,2024-02-05,Mysuru,Mcdonald'S,Fast Food,Chicken Biryani,2,304.77,35,UPI,1.0,2,Monday,Normal
1048,71,2024-02-05,Hubli,Domino'S,Biryani,Cheese Pizza,4,397.17,49,CARD,4.0,2,Monday,Late
1049,32,2024-02-05,Hubli,Meghana Foods,Fast Food,Paneer Curry,4,444.35,37,CASH,4.0,2,Monday,Normal
1050,215,2024-03-09,Mangalore,Meghana Foods,Biryani,Garlic Bread,2,305.6,46,UPI,4.0,3,Saturday,Late
1051,173,2024-03-26,Hubli,Domino'S,South Indian,Chicken Pizza,1,736.71,52,UPI,2.9847560975609757,3,Tuesday,Late
1052,14,2024-01-11,Hubli,Domino'S,South Indian,Chicken Pizza,1,296.91,35,CARD,4.0,1,Thursday,Normal
1053,168,2024-02-05,Mysuru,Empire,Dessert,Cheese Pizza,4,133.18,49,UPI,3.0,2,Monday,Late
1054,115,2024-02-05,Bangalore,Pizza Hut,Biryani,Veg Biryani,1,542.51,30,CARD,4.0,2,Monday,Normal
1055,59,2024-02-05,Mangalore,Kfc,Dessert,Chicken Pizza,1,648.9,25,CASH,1.0,2,Monday,Fast
1056,297,2024-02-05,Hubli,Empire,Biryani,Cheese Pizza,2,189.29,64,CASH,2.9847560975609757,2,Monday,Late
1057,62,2024-02-05,Hubli,Mcdonald'S,South Indian,Burger,1,464.05,36,UPI,4.0,2,Monday,Normal
1058,251,2024-02-05,Hubli,Mcdonald'S,Biryani,Fries,2,618.98,56,CASH,5.0,2,Monday,Late
1059,276,2024-02-05,Hubli,Meghana Foods,Dessert,Burger,2,684.9,20,CASH,4.0,2,Monday,Fast
1060,125,2024-02-29,Hubli,Empire,Fast Food,Garlic Bread,3,243.65,28,CASH,3.0,2,Thursday,Fast
1061,175,2024-02-05,Mysuru,Mcdonald'S,Fast Food,Dosa,2,178.22,61,CARD,4.0,2,Monday,Late
1062,285,2024-01-31,Mangalore,Mcdonald'S,South Indian,Veg Pizza,1,320.08,40,CARD,3.0,1,Wednesday,Normal
1063,298,2024-02-05,Mangalore,Mcdonald'S,Dessert,Fries,3,359.23,44,CASH,3.0,2,Monday,Normal
1064,129,2024-02-05,Mysuru,Empire,Fast Food,Dosa,2,250.25,62,CARD,3.0,2,Monday,Late
1065,269,2024-02-05,Bangalore,Domino'S,Dessert,Veg Biryani,3,242.02,15,UPI,2.0,2,Monday,Fast
1066,141,2024-02-05,Mangalore,Kfc,Biryani,Garlic Bread,1,713.45,51,CASH,4.0,2,Monday,Late
1067,246,2024-02-05,Bangalore,Pizza Hut,Dessert,Garlic Bread,1,679.04,40,CARD,1.0,2,Monday,Normal
1068,296,2024-03-21,Bangalore,Domino'S,Biryani,Paneer Curry,3,177.92,30,UPI,5.0,3,Thursday,Normal
1069,214,2024-03-18,Mysuru,Mcdonald'S,South Indian,Garlic Bread,4,322.2,52,CARD,3.0,3,Monday,Late
1070,292,2024-02-05,Bangalore,Domino'S,Biryani,Chicken Biryani,1,226.8,26,UPI,1.0,2,Monday,Fast
1071,81,2024-02-05,Mangalore,Meghana Foods,South Indian,Chicken Biryani,1,277.4,60,CASH,2.9847560975609757,2,Monday,Late
1072,233,2024-01-10,Mysuru,Kfc,North Indian,Veg Biryani,4,198.05,29,CARD,3.0,1,Wednesday,Fast
1073,73,2024-02-05,Bangalore,Kfc,North Indian,Paneer Curry,3,418.62,44,CASH,2.9847560975609757,2,Monday,Normal
1074,207,2024-02-04,Mangalore,Mcdonald'S,South Indian,Cheese Pizza,1,724.81,62,CASH,5.0,2,Sunday,Late
1075,129,2024-02-05,Mysuru,Meghana Foods,North Indian,Veg Pizza,3,511.85,63,CARD,4.0,2,Monday,Late
1076,266,2024-02-05,Mysuru,Domino'S,North Indian,Fries,4,778.96,45,CASH,4.0,2,Monday,Normal
1077,171,2024-02-11,Bangalore,Domino'S,Dessert,Fries,4,315.99,40,UPI,1.0,2,Sunday,Normal
1078,233,2024-02-05,Mysuru,Empire,Fast Food,Fries,1,567.21,49,CARD,4.0,2,Monday,Late
1079,28,2024-01-25,Hubli,Meghana Foods,South Indian,Garlic Bread,1,258.42,50,CARD,3.0,1,Thursday,Late
1080,225,2024-02-05,Bangalore,Pizza Hut,North Indian,Veg Biryani,2,331.31,15,UPI,4.0,2,Monday,Fast
1081,48,2024-02-05,Mangalore,Pizza Hut,Biryani,Garlic Bread,3,466.03,32,CARD,4.0,2,Monday,Normal
1082,242,2024-02-05,Mangalore,Domino'S,South Indian,Veg Biryani,2,707.54,32,CARD,3.0,2,Monday,Normal
1083,260,2024-02-05,Mysuru,Kfc,North Indian,Paneer Curry,4,708.38,43,UPI,4.0,2,Monday,Normal
1084,177,2024-02-12,Mangalore,Empire,South Indian,Burger,2,786.93,30,UPI,4.0,2,Monday,Normal
1085,120,2024-02-05,Hubli,Mcdonald'S,South Indian,Fries,2,456.82,17,CARD,5.0,2,Monday,Fast
1086,170,2024-02-05,Bangalore,Mcdonald'S,South Indian,Veg Pizza,2,398.79,56,CARD,1.0,2,Monday,Late
1087,241,2024-02-05,Hubli,Pizza Hut,Dessert,Dosa,4,768.81,55,CARD,5.0,2,Monday,Late
1088,19,2024-02-05,Mysuru,Kfc,Biryani,Cheese Pizza,4,785.27,63,UPI,4.0,2,Monday,Late
1089,86,2024-02-05,Bangalore,Pizza Hut,Dessert,Veg Pizza,3,363.76,42,CARD,2.0,2,Monday,Normal
1090,272,2024-02-22,Bangalore,Domino'S,Biryani,Cheese Pizza,4,541.4,30,CARD,5.0,2,Thursday,Normal
1091,74,2024-02-05,Mysuru,Mcdonald'S,Dessert,Veg Pizza,4,732.82,58,UPI,2.0,2,Monday,Late
1092,38,2024-02-05,Mysuru,Empire,Dessert,Garlic Bread,3,255.47,39,CARD,1.0,2,Monday,Normal
1093,122,2024-02-18,Hubli,Meghana Foods,Dessert,Chicken Biryani,1,785.0,57,CARD,3.0,2,Sunday,Late
1094,5,2024-03-13,Bangalore,Meghana Foods,South Indian,Chicken Biryani,2,532.8,37,CARD,2.9847560975609757,3,Wednesday,Normal
1095,98,2024-02-05,Bangalore,Pizza Hut,Fast Food,Chicken Biryani,4,142.69,38,CARD,1.0,2,Monday,Normal
1096,152,2024-02-11,Hubli,Domino'S,Biryani,Chicken Pizza,3,480.98,32,CARD,3.0,2,Sunday,Normal
1097,247,2024-02-07,Hubli,Pizza Hut,South Indian,Cheese Pizza,2,632.82,29,CARD,5.0,2,Wednesday,Fast
1098,188,2024-02-05,Bangalore,Kfc,North Indian,Cheese Pizza,4,370.64,62,CASH,5.0,2,Monday,Late
1099,196,2024-02-05,Bangalore,Domino'S,South Indian,Veg Pizza,3,742.37,29,UPI,2.9847560975609757,2,Monday,Fast
1100,238,2024-02-05,Hubli,Pizza Hut,Biryani,Veg Pizza,1,326.97,46,UPI,1.0,2,Monday,Late
1101,121,2024-02-05,Hubli,Mcdonald'S,Dessert,Dosa,4,519.39,61,CARD,4.0,2,Monday,Late
1102,51,2024-03-03,Hubli,Kfc,Fast Food,Burger,2,421.5,30,CASH,1.0,3,Sunday,Normal
1103,189,2024-03-10,Hubli,Pizza Hut,South Indian,Chicken Biryani,2,778.38,69,CARD,1.0,3,Sunday,Late
1104,109,2024-03-23,Bangalore,Pizza Hut,Dessert,Veg Biryani,2,655.15,28,UPI,5.0,3,Saturday,Fast
1105,107,2024-02-05,Mysuru,Empire,Biryani,Paneer Curry,1,308.55,24,CARD,5.0,2,Monday,Fast
1106,129,2024-02-05,Bangalore,Domino'S,Fast Food,Burger,2,520.42,16,CARD,3.0,2,Monday,Fast
1107,27,2024-01-17,Hubli,Mcdonald'S,Fast Food,Cheese Pizza,4,424.83,38,UPI,5.0,1,Wednesday,Normal
1108,56,2024-02-27,Mysuru,Meghana Foods,Fast Food,Dosa,3,431.47,16,UPI,4.0,2,Tuesday,Fast
1109,206,2024-02-24,Bangalore,Mcdonald'S,South Indian,Cheese Pizza,1,339.04,24,UPI,2.0,2,Saturday,Fast
1110,141,2024-03-20,Mangalore,Empire,South Indian,Paneer Curry,3,428.53,53,CARD,1.0,3,Wednesday,Late
1111,59,2024-03-24,Mangalore,Domino'S,South Indian,Garlic Bread,2,401.39,67,CARD,4.0,3,Sunday,Late
1112,213,2024-02-05,Hubli,Empire,Dessert,Burger,2,587.04,45,UPI,1.0,2,Monday,Normal
1113,44,2024-02-05,Bangalore,Empire,Biryani,Dosa,1,518.8,50,UPI,3.0,2,Monday,Late
1114,63,2024-02-05,Hubli,Pizza Hut,Dessert,Paneer Curry,3,359.12,51,UPI,2.0,2,Monday,Late
1115,80,2024-02-05,Mysuru,Pizza Hut,Dessert,Dosa,3,198.12,32,UPI,2.0,2,Monday,Normal
1116,220,2024-03-12,Mangalore,Pizza Hut,North Indian,Chicken Biryani,1,242.68,59,CASH,3.0,3,Tuesday,Late
1117,180,2024-02-05,Bangalore,Meghana Foods,South Indian,Cheese Pizza,2,623.86,16,UPI,2.9847560975609757,2,Monday,Fast
1118,272,2024-02-05,Hubli,Mcdonald'S,Dessert,Chicken Pizza,3,331.91,35,UPI,5.0,2,Monday,Normal
1119,44,2024-02-05,Bangalore,Meghana Foods,Fast Food,Cheese Pizza,3,421.32,42,CARD,5.0,2,Monday,Normal
1120,227,2024-02-05,Mysuru,Mcdonald'S,Fast Food,Burger,4,195.41,58,UPI,4.0,2,Monday,Late
1121,270,2024-02-05,Bangalore,Domino'S,South Indian,Paneer Curry,1,125.23,34,CARD,2.0,2,Monday,Normal
1122,131,2024-02-05,Bangalore,Pizza Hut,South Indian,Fries,2,207.85,49,CARD,5.0,2,Monday,Late
